Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.2107896202304391,0.010789620230439168,0.00011641590471710215,0.010789620230439168,0.7171826103683676,1.6628471496390498,True,892.0,1.0,0,41.96958661079407
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.8293278324608421,0.02932783246084203,0.0008601217568512194,0.02932783246084203,0.3512680870362563,1.3009439962263254,True,1151.0,1.0,0,41.96958661079407
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta2p5,Z,,0.9451140996298011,,,,0.936517007875428,0.9494014105398135,,1885.0,1.0,0,41.96958661079407
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta5,mu_omega,0.5,0.3146273827255466,-0.18537261727445342,0.03436300723518099,0.18537261727445342,0.11682771667231413,0.5115423722041562,True,2657.0,1.0,0,41.722339153289795
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta5,sigma_omega,1.0,1.27263874267437,0.27263874267436994,0.07433188400706131,0.27263874267436994,0.8103888527772465,1.630545040449712,True,1316.0,1.0,0,41.722339153289795
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta5,sigma_direct,1.2,1.1840002348304357,-0.01599976516956425,0.0002559924854812014,0.01599976516956425,0.6992238597101105,1.5849817691192623,True,1251.0,1.0,0,41.722339153289795
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta5,sigma_collateral,0.8,0.8137188082227551,0.013718808222755063,0.00018820569905273195,0.013718808222755063,0.31778680954840804,1.2569518287997288,True,1486.0,1.0,0,41.722339153289795
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta5,Z,,0.9451472939063817,,,,0.9361314527261387,0.9494801826588907,,2254.0,1.0,0,41.722339153289795
Independent,Beta_2_2_constrained,"N(0,5²)",HalfNormal_sigma2,mu_omega,0.5,0.31586719617405945,-0.18413280382594055,0.03390488944480231,0.18413280382594055,0.11869451055797119,0.5032878213768052,True,2589.0,1.0,0,40.35825729370117
Independent,Beta_2_2_constrained,"N(0,5²)",HalfNormal_sigma2,sigma_omega,1.0,1.2425768859006676,0.24257688590066762,0.058843545573265515,0.24257688590066762,0.6843138082740196,1.6067663343783045,True,1276.0,1.0,0,40.35825729370117
Independent,Beta_2_2_constrained,"N(0,5²)",HalfNormal_sigma2,sigma_direct,1.2,1.210402888460966,0.010402888460966153,0.00010822008833130274,0.010402888460966153,0.7698929195866173,1.6323328824482313,True,1297.0,1.0,0,40.35825729370117
