Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta5,sigma_omega,1.0,1.0968950442169443,0.09689504421694428,0.009388649593803587,0.09689504421694428,0.8607295998536325,1.3551117478117496,True,2371.0,1.0,0,72.22706580162048
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta5,rho,0.85,0.8722787092505558,0.02227870925055586,0.0004963408858708033,0.02227870925055586,0.6968310722484923,0.9828881019099834,True,2743.0,1.0,0,72.22706580162048
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta5,sigma_direct,1.2,1.1482336458892888,-0.05176635411071118,0.002679755417915544,0.05176635411071118,0.8898486136301926,1.3752831538659447,True,2668.0,1.0,0,72.22706580162048
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta5,sigma_collateral,0.8,0.750835396579434,-0.049164603420566055,0.0024171582295015354,0.049164603420566055,0.35927343492427294,1.1260577465229986,True,2913.0,1.0,0,72.22706580162048
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta5,Z,,0.9444685113582479,,,,0.9340082815521985,0.9493186423354,,2811.0,1.0,0,72.22706580162048
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfNormal_sigma2,mu_omega,0.5,0.4295659239186272,-0.07043407608137281,0.004960959073436614,0.07043407608137281,0.18756373504782045,0.6703250114043469,True,3425.0,1.0,0,73.75673031806946
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfNormal_sigma2,sigma_omega,1.0,1.0887019991017763,0.08870199910177634,0.007868044644651531,0.08870199910177634,0.8528933443431672,1.3536334059868782,True,2063.0,1.0,0,73.75673031806946
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfNormal_sigma2,rho,0.85,0.8744884952682294,0.024488495268229382,0.0005996864005020929,0.024488495268229382,0.7023553070879857,0.9820139462310183,True,2759.0,1.0,0,73.75673031806946
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfNormal_sigma2,sigma_direct,1.2,1.1545030194895338,-0.045496980510466134,0.002069975235569735,0.045496980510466134,0.9098828366116041,1.387753372135042,True,2430.0,1.0,0,73.75673031806946
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfNormal_sigma2,sigma_collateral,0.8,0.7554456619903313,-0.04455433800966879,0.001985089035479817,0.04455433800966879,0.3787794819654319,1.1317707700415254,True,2249.0,1.0,0,73.75673031806946
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfNormal_sigma2,Z,,0.9445430680672291,,,,0.9346036683936283,0.9493104071629188,,2840.0,1.0,0,73.75673031806946
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta1,mu_omega,0.5,0.4356260160590192,-0.06437398394098082,0.004144009808433656,0.06437398394098082,0.20840414895656892,0.6681464022821315,True,3143.0,1.0,0,72.87803435325623
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta1,sigma_omega,1.0,1.0761584561761093,0.07615845617610928,0.005800110447128358,0.07615845617610928,0.8340946462084297,1.3386663066885003,True,1945.0,1.01,0,72.87803435325623
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta1,rho,0.85,0.8779969894519527,0.027996989451952725,0.0007838314183727522,0.027996989451952725,0.709423313497978,0.9844083498093539,True,2118.0,1.0,0,72.87803435325623
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta1,sigma_direct,1.2,1.1639584589342127,-0.036041541065787275,0.0012989926823968306,0.036041541065787275,0.9187060376193823,1.3965003364309052,True,2080.0,1.01,0,72.87803435325623
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta1,sigma_collateral,0.8,0.7626723238527254,-0.03732767614727461,0.0013933554065558142,0.03732767614727461,0.38215805887254134,1.1364465941460284,True,2115.0,1.0,0,72.87803435325623
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta1,Z,,0.9444062476350638,,,,0.934523072167627,0.9493807172620474,,3003.0,1.0,0,72.87803435325623
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta2p5,mu_omega,0.5,0.4307856477709,-0.0692143522291,0.00479062655449392,0.0692143522291,0.18738439026821194,0.6693705526490713,True,3441.0,1.0,0,72.4608325958252
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.090658725231788,0.09065872523178808,0.00821900446065285,0.09065872523178808,0.8505005224025912,1.3685817509955405,True,2089.0,1.0,0,72.4608325958252
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta2p5,rho,0.85,0.8750800692027441,0.025080069202744082,0.0006290098712144321,0.025080069202744082,0.6916554219795726,0.9825209528320242,True,2482.0,1.0,0,72.4608325958252
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.1513466657083682,-0.04865333429163177,0.0023671469376932716,0.04865333429163177,0.8919836210044922,1.3817876122238493,True,2318.0,1.0,0,72.4608325958252
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.7616121909231386,-0.03838780907686146,0.001473623885721567,0.03838780907686146,0.3849017751668503,1.1304471162808976,True,2958.0,1.0,0,72.4608325958252
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta2p5,Z,,0.9445119943016155,,,,0.9348077966938659,0.9493312538602912,,2610.0,1.0,0,72.4608325958252
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta5,mu_omega,0.5,0.4326896016917722,-0.06731039830822783,0.004530689720412279,0.06731039830822783,0.19504345087047367,0.6651017614727415,True,3181.0,1.0,0,71.91147017478943
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta5,sigma_omega,1.0,1.0889176581284055,0.08891765812840546,0.00790634992703999,0.08891765812840546,0.8441082736003626,1.352420459181305,True,1915.0,1.0,0,71.91147017478943
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta5,rho,0.85,0.8769163857713075,0.026916385771307505,0.0007244918229898451,0.026916385771307505,0.6991484668032721,0.9837239119379726,True,2338.0,1.0,0,71.91147017478943
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta5,sigma_direct,1.2,1.153506174664913,-0.04649382533508706,0.0021616757942895834,0.04649382533508706,0.8908978409209147,1.3853665410715221,True,1843.0,1.0,0,71.91147017478943
